movieskey,moviename,deathcount,deathcomment
561,Mega Shark vs. Giant Octopus,2306,"9, plus an oil rig, a whale, a plane snatched out of the air by mega shark, two U.S. navy ships, one oil tanker crew killed by pirates, one pirate crew cooked well done, 7 U.S. submarines, one Japanese submarine, one mega shark and one giant octopus"
562,Half Baked,2,1 horse and 1 dog
563,Law Abiding Citizen,15,15
564,Titanic,1534,"1,522 and 12 dogs"
565,Number Seventeen,2,2
566,Zombieland,149,148 plus Bill Murray
567,The Transformers: The Movie,2500000036,"1 robot planet, 7 autobots, 16 decepticons, 5 robot fish, 5 sharkticons, 2 random robots and Unicron"
568,Ed Wood,1,1
569,True Romance,20,20
570,Clash of the Titans (1981),75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
571,Clash of the Titans (2010),1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken"
1574,Trees Lounge,1,1 and 0 motherfuckers
572,Transporter 3,20,19 and a fish
573,Orphan,4,3 and a pigeon
574,The Objective,10,10
575,Pinocchio's Revenge,3,2 people and 1 girl doll
576,Paranormal Activity,1,1
577,Fantastic Mr. Fox,6,"2 squabs, 3 chickens, 1 rat"
578,Commando,86,86
579,Donnie Darko,1,1
580,Sam's Lake,10,10
581,Night of the Living Dead 3D,10,10
582,Mouth to Mouth (2005),2,2
583,State of Play,5,5
584,Sex and Death 101,3,3
585,Near Dark,15,15
586,Taken,20,20
587,Goodfellas,10,10
588,Dance of the Dead,85,85
589,Happy Birthday to Me,9,9
590,Pan's Labyrinth,28,"22, a giant toad, 2 bugs, 2 fairies and a magic root"
591,Drive Thru,14,14
592,Young and Innocent,1,1
593,Cut,15,15
594,Invitation to a Suicide,1,1
595,April Fools,2,2
596,Young Guns II,21,21
597,The Box (2009),3,3
598,Broken Arrow,27,27
599,Unthinkable,55,55 and 0 motherfuckers
600,Elephant,13,13
601,Casino Royale (1967),217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse."
602,Hellboy,6041,"34 plus 6 Sammaels, 1 Ogdru Jahad, and thousands of Sammael eggs"
603,First Blood,5,"1 man, 3 dogs, 1 wild pig"
604,Insanitarium,25,24 and a cat
605,Legion,217,172 and 45 locusts
606,House of the Dead,128,128
607,Brotherhood of Blood,16,16
608,"Angels of the Universe	",2,2
609,The Road,6,6
610,Postal,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer."
611,Zoolander,3,"3 really, really ridiculously good-looking models "
612,Rich and Strange,3,2 and a cat
613,Terminator Salvation,500070,"53, 5 terminators, 2 motorcycle killing machines, 2 hunter killers, 8 face-eating water snake machines (a.k.a. machine face snake eaters) and Skynet Central"
614,Hook,9,9 and a coconut
615,Matilda,1,1
616,"American Crime, An American Crime",1,1
617,Wild Oranges,3,3
618,Rambo II,63,62 and a chicken
619,Single White Female,4,3 and a dog
620,Fortress (1992),30,29 and a robo-truck
621,Casino,22,22
622,Punisher: War Zone,108,108
623,The Wizard of Gore,2512,"6, 1 leech, 5 rats and 5 handfuls of maggots"
624,Raiders of the Lost Ark,119,"55, a monkey and 63 ""impossible to count"" snakes"
625,Indiana Jones and the Temple of Doom,532,"31 people, 8 chickens, 2 snakes, 1 mosquito and 490 other bugs"
626,Indiana Jones and the Last Crusade,2055,"48 people, 7 birds, and 2,000 rats"
627,Zombies of Mass Destruction,34,34
628,Rambo III,132,130 and 2 horses
629,P2,4,3 and a dog
630,Traitor,63,63
631,The Skin Game,3,1 plus a fetus and a tree
632,Moulin Rouge,1,1
633,Rambo IV,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs"
634,Stardust,17,"8 plus 4 witches, 1 star, 1 ferret, 1 small alligator, 1 goat and 1 unicorn"
635,Inception,3,3
636,Whiteout,10,10
637,Jaws 2,8,7 people and 1 shark
638,Jaws 3,8,5 plus 2 sharks and 1 fish
639,Jaws 4,3,2 and a shark
640,The Expendables,165,165
641,One Flew Over the Cuckoo's Nest,2,2
642,THX 1138,68,"63 plus 1 mate, 2 robot police officers, 1 hologram dude and a fetus"
643,Machete,78,"77 and an unborn child		"
644,The Matrix,43,"42, a tracer bug, and Neo's doubt"
645,"The Goods: Live Hard, Sell Hard",1,1
646,Undead or Alive,32,"30, a horse, and a chicken"
647,Secret Agent,4,4
648,Devil,7,7
649,Fortress (1986),22,"6, a fox, and fifteen fish"
650,Max Payne,32,32
651,Shutter Island,1,1
652,Con Air,31,"30, a tank and a car"
653,Flash Gordon,57,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster
654,Despicable Me,1,1 bird
655,Amelie,1,1
656,The Baby's Room,1,1
657,The Man from Earth,1,1
658,The Machinist,1,1
659,Nights in Rodanthe,1,1
660,The Fast and the Furious: Tokyo Drift,1,1
661,Dead Snow,46,"10, a crow, and 35 zombie Nazis"
662,A Nightmare on Elm Street (2010),4,4
663,Red,16,16
664,2001: A Space Odyssey,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
665,Australia,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
666,Shutter (2008),2,2
667,Ghost Ship,1137,"1,137"
668,"Bucket of Blood, A Bucket of Blood",5,4 and a cat
669,Necropolis (1987),17,12 and 5 ghouls
670,Kick-Ass,64,64
671,Avatar,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
672,Saw VII,21,21
1473,Man of Steel,2000129220,"129,039 people, General Zod, 10 Kryptonian soldiers, 170 Kryptonian fetuses and the planet Krypton"
673,Paranormal Activity 2,3,2 and 1 bird
674,The Nightmare Before Christmas,2,1 and a scorpion
675,Clerks,1,1
676,Wristcutters: A Love Story,9,9
677,Night of the Living Dead (1968),15,15
678,How to Lose Friends & Alienate People,4,"1 dog and 3 goldfish	"
679,"How to Be a Serial Killer	",28,28
680,"Cube	",6,6
681,The Crazies (2010),1266,"1,266"
682,The Order,8,8
683,The Book of Eli,53,51 plus a cat and a bird
684,"Danika	",3,3
685,Bangkok Dangerous,44,43 and a scorpion
686,Strangers on a Train,3,3
687,"Clay Pigeons	",3,3
688,American History X,3,3
689,Santa's Slay,33,"31, a fluffy white dog and a helldeer"
690,Dial M for Murder,1,1
691,The Tourist,5,5
692,The Losers,61,"40 and a teddy bear before the opening title, then 20 more"
693,Life Blood,9,8 and a possum
694,"Tron	",29,"19 programs, 7 recognizers, 2 tanks and 1 master control program"
695,The Man Who Knew Too Much (1934),8,8
696,"Perfect Getaway, A Perfect Getaway",8,"7 and a goat	"
697,The Christmas Tale,4,4
698,Requiem for a Dream,1,1
699,"Cloudy with a Chance of Meatballs	",4,"1 and 3 gummie bears	"
700,The Time Traveler's Wife,4,2 and 2 fetuses
701,Jackie Brown,4,4 bodies and 38 motherfuckers from Samuel L. Jackson
702,Knowing,6785987235,All of Earth except for 2 kids and 2 rabbits
703,Backdraft,6,6
704,Brooklyn's Finest,16,16
705,High Hopes ,2,2
706,The Emperor's New Groove,2,2 bugs
707,May,7,"5, a cat, and a creepy porcelain doll	"
708,Rob Roy,26,"14, a dog, 7 cows, 2 chickens and 2 sheep	"
709,"Die Hard	",23,23
710,Die Hard 2,265,265
711,Survival of the Dead,96,"94, a pig, and a horse	"
712,Harry Brown,14,14
713,Hostel: Part II,9,9
714,Behind Enemy Lines,43,43
715,Dune,270,268 and 2 sandworms
716,"Return to Horror High	",4,4 flies
717,To Catch a Thief,1,1
718,Psycho (1960),2,2
719,Rear Window,2,"1 and a dog	"
720,Blackmail,2,2
721,"Sabotage (1936)	",58,57 and a puppy
722,Screamers,132,"76 people, 11 Type 1-revised screamers, 2 Type 2 screamers, 40 Type 3 screamers, 2 Type 4 screamers, and 1 rat"
723,Lady and the Tramp,1,1 rat
724,"Day of the Dead (2008)	",118,117 and one zombie boyfriend
725,2001 Maniacs,11,"8 people, an armadillo, a cat, and a mouse"
726,My Bloody Valentine (1981),15,15
727,"Mulholland Drive, Mulholland Dr.",9,9
728,The Wolfman (2010),21,21
729,"Scotland, Pa	",5,5
730,Vertigo,3,3
731,The Outsiders,3,3
732,Chloe,1,1
733,Dogma,67,"57, 5 demons and 5 gang members	"
734,Surrogates,13,13
1223,Bad Boys,21,21
735,Extract,2,1 and a testicle
736,Good Time Max,3,3
737,The Blind Side,1,1
738,"Tenebre	",12,12
739,Splice,8,"3 people, 1 Ginger, 1 Fred, 1 rabbit, 1 cat and 1 Dren"
740,New Moon,3,2 and 1 vampire
741,Defendor,2,2
742,"My Sister's Keeper	",2,2
743,Predators,19,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing"
744,How About You,1,1
745,"The Lookout	",7,7
746,The Gate,1,1 demon lord
747,"Ghost Dog: The Way of the Samurai	",45,"18 people, 26 pigeons and 1 bear"
748,Hard Candy,1,1
749,Star Wars: Episode I - The Phantom Menace,162,"21, 3 gungam mounts, 4 destroyers, 2 tattooine lizard rats, 130 droids, 1 black gooberfish, and 1 eel-igator. Also 0 motherfuckers from Samuel L. Jackson."
750,BASEketball,17,"5 people, 2 chickens, 1 skunk, 3 raccoons, 1 dog, 1 kangaroo and 4 other animals that died too fast to identify."
751,Star Wars: Episode II - Attack of the Clones,200697,"128 (including Jango Fett) plus 2 extremely poisonous giant centipedes, 1 giant alien saber-rat, 1 space beast, 1 space rhinocerous, 1 Mary-beast, 2 AT-TE walkers, 377 droids, 25 big-boned droids, 1 spider droid, 8 roller droids, 2 destroyers, and 1 ball ship."
752,I Spit on Your Grave (1978),4,4
753,I Spit on Your Grave (2010),6,6
754,Happy Gilmore,3,2 and an alligator
755,"Mad Max	",10,9 and a dog
756,Star Wars: Episode III - Revenge of the Sith,353646,"117 plus 88 droids, 2 destroyers, 2 horseshoe crab ships, half of General Grievous's ship, 4 starfighters, 1 vulture droid, 8 buzz droids, 5 big-boned droids, 6 jedi-looking droids, 2 rolling water droids, 2 spider droids, 2 flying saucer ships and a hovertank."
757,Peacock,1,1
758,Star Wars: Episode IV - A New Hope,1972739840,"115 plus 9 jawas, 6 X-Wings, 8 TIE Fighters, 3 Y-Wings, the entire planet of Alderaan and one Death Star"
759,Feast of Love,1,1
760,Up in the Air,1,1
761,Chuck & Buck,1,1
762,Murder!,1,1
763,P.S. I Love You,1,1
764,Insidious,1,1
765,Mega Piranha,4165,"47, plus 1 shark, 1 cruise ship, 1 navy ship, 1 nuclear submarine and 41 mega piranhas"
766,The Tingler,2,2
767,The Town,6,6
768,The Tournament,45,"43, 1 dog and 1 fetus"
769,The Quiet,1,1
770,The Last Exorcism,4,3 and a kitty
771,The Last Airbender,2,2
772,The Human Centipede,6,6
773,The Gravedancers,6,6
774,The Good Son,3,2 and a dog
775,The Girl Who Played with Fire,4,4
776,The Farmer's Wife,1,1
777,Orange County,1,1
778,The Square,6,5 and a doggie
779,Richard III,29,29
780,Star Wars: Episode V - The Empire Strikes Back,136,"38, 2 tauntauns, 1 probe droid, 2 AT-AT Imperial Walkers, 4 TIE fighters and one mynock"
781,Cruel World,11,10 and a cow
782,2012,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.
783,Dead Air,160004,4 plus tens of thousands of people in sixteen major US cities.
784,The Killer Inside Me,11,11
785,Die! Die! My Darling!,2,2
786,Star Wars: Episode VI - Return of the Jedi,2615849,"76 (including Yoda, Boba Fett, Jabba the Hut, the Emperor and Darth Vader) plus 1 rancor, 1 Jabba-snack (a.k.a. frog), 1 space slug, 5 ewoks, 4 X-Wings, one rebel fighter, one kamikaze rebel fighter, 3 AT-ATs, 10 TIE Fighters, 2 rebel cruisers, 2 star destroyers and one unfinished death star."
787,The Ghost Writer,3,3
788,Candyman,6,5 and a dog
789,The Rite,4,4
790,Giallo,5,5
791,Die Hard: With a Vengeance,16,16 plus 5 motherfuckers from Samuel L. Jackson
792,Schindler's List,10033,"10,033"
793,Sin City,59,59
794,Lord of the Rings I: The Fellowship of the Ring,183,"102 before the title and then 72 more, plus 9 horses"
795,Jersey Girl,1,1
796,A Clockwork Orange,3,2 and a snake
797,Salt,30,30
798,Willow,36,"33, plus 1 ""dog"" (looks more like a cross between a boar and a giant rat), 1 troll, and 1 two-headed beast "
799,The Road Warrior,48,"46, 1 bunny, and 1 dog"
800,Pot Zombies,22,22
801,The Beach,8,8
802,Super 8,9,9
803,Deuce Bigalow: Male Gigolo,2,1 rainbow fish and 1 chinese tailbar lionfish
804,Dracula (1931),13,13 (including Dracula)
805,The Man Who Knew Too Much (1956),3,3
806,Lord of the Rings II: The Two Towers,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish"
807,Shrooms,7,6 and a goat
808,Canadian Bacon,2,2
809,Money Train,3,3
810,Dangerous Love,5,5
811,The Wolf Man,4,2 and 2 wolfmen
812,Mutant Vampire Zombies from the 'Hood!,92,92
813,Ninja vs. Bruce Lee,3,3
814,Otis,3,3
815,Case 39,7,6 and a demon child
816,Staten Island,7,7
817,The Texas Chainsaw Massacre (1974),5,5
818,The Texas Chainsaw Massacre (2003),8,8
819,Bram Stoker's Dracula,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
820,Cop Out,10,10
821,Mary Shelley's Frankenstein,12,"9 and 3 dogs		"
822,Frankenstein (1931),4,4
823,Final Destination 5,94,94
824,Lord of the Rings III: The Return of the King,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum"
825,Oldboy,6,5 and an octopus
826,Hollywood Homicide,8,8
827,Lake Dead,8,8
828,"Serious Man, A Serious Man",3,2 and a deer
829,Top Secret!,24,"22, a cricket and a carrier pigeon"
830,Stag Night,12,11 and a dog
831,Phenomena,7,7
832,Armored,6,6
833,Up,2,2
834,Very Bad Things,6,6
835,The Lovely Bones,2,2
836,Contract Killers,8,8
837,The American,9,9
838,How to Kill Your Neighbor's Dog,1,1 dog
839,Jesus' Son,12,"5 plus 1 rabbit, 5 premature rabbits and 1 fetus"
840,My Soul to Take,9,9
841,Knight and Day,49,49
842,Boogeyman,5,4 and a bird
843,RocknRolla,9,9
844,Empire of the Sun,14,14
845,Horrible Bosses,1,1
846,"Good Night to Die, A Good Night to Die",7,7
847,Ginger Snaps,10,"4 people, 4 dogs and 2 werewolves"
848,Life as We Know It,2,2
849,The Card Player,8,7 and a radio
850,Hobo with a Shotgun,50,50
851,The A-Team,25,25
852,Lawn Dogs,3,2 chickens and 1 dog
853,Fist of Fury,21,21
854,Hunt to Kill,15,15
855,The Puppet Masters,203534,"26 people and 203,508 aliens"
856,Capote,6,6
857,Queer Duck: The Movie,1,1 buzzard
858,Killers,10,10
859,The Doom Generation,9,8 and 1 dog
860,Devil in the Flesh,6,5 and 1 dog
861,Ghostbusters,3,1 Stay Puft Marshmallow Man and 2 gargoyle dogs
862,Sucker Punch,1,1
863,Twelve,7,7
864,Bloodsucking Freaks,13,13
865,The Virgin Suicides,5,5
866,Red State,17,17
867,Bug,3,3
868,Natural Born Killers,123,122 and a scorpion
869,Dear John,2,2
870,Vampires Suck,8,7 and a cat
871,Bully,1,1
872,Casualties of War,19,19
873,Comic Book Villains,4,4
874,I Am Number Four,16,"3 humans, 3 Loriens, 8 Mogadorians and 2 giant alien bat-dogs"
875,Edge of Darkness,12,12
876,Fragile,5,5
877,Ghosts of Girlfriends Past,2,2
878,As Good As Dead,13,12 and a dog
879,Thor,148,"146, 1 Giant Ice Monster and 1 Destroyer"
880,Death Wish,11,11
881,Hideaway,7,7
882,ThanksKilling,12,"10 plus 1 dog, 1 baby bunny and a turkey rape"
883,Home Fries,1,1
884,Pieces of April,1,1 squirrel
885,Two Hands,8,8
886,Tooth & Nail,20,20
887,Drive Angry,67,67
888,Killshot,4,4
889,Unrest,7,7
890,Primer,2,2
891,Monsters vs Aliens,3682,"3,601 aliens and 81 giant alient robot probes"
892,True Grit,14,11 and 3 horses
893,Girly,5,5
894,"Christmas Evil, You Better Watch Out",4,4
895,High Art,1,1
896,Let Me In,10,10
897,Rubber,42,"36 people, 1 crow, 1 scorpion, 1 rabbit, 1 turkey, 1 spider and Robert the tire"
898,Scream of the Banshee,6,5 and a banshee
899,The Donner Party,8,"6, a bear and a deer"
900,Super,19,19
901,"Ghoulies III: Ghoulies Go to College, Ghoulies 3",6,6
902,Paintball,10,10
903,Limitless,11,11
904,Holes,9,"7, a mule and 1 yellow spotted lizard"
905,"Coraline	",21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad"
906,Brick,8,7 and a fetus
907,Sanctum,7,7
908,The Mechanic,17,17
909,Hatchet,10,10
910,The Lake House,1,1
911,SLC Punk,1,1
912,Mad Dog Morgan,12,10 and 2 snakes
913,Scream,7,7
914,Scream 2,10,10
447,Star Trek (2009),5999995636,"5,999,995,635 and one alien creature"
915,The Good Girl,2,2
916,Necromentia,7,6 and a pig-faced demon
917,16 Blocks,2,2
918,Men at Work,1,1
919,Redneck Zombies,15,"8 people, 6 zombies and 1 piglet"
920,Old School,3,3
921,Miss Nobody,8,8
922,See No Evil (2006),11,10 and a bug
923,3000 Miles to Graceland,48,47 and a coyote
924,Everything is Illuminated,1025,"1,025"
925,Logan's Run,49,48 and a robot
926,The Violent Kind,5,5
927,Syriana,10,10
928,Blue Valentine,1,1
929,Dreamscape,5,5
930,Stone,3,2 and a fly
931,Paul,4,"2, a bird and a dog"
932,Alien,8,"5, an android, an alien and a face hugger"
933,Aliens,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
934,Leprechaun,5,4 and a cricket
935,Faces in the Crowd,7,7
936,Faster (2010),7,7
937,Shaft (2000),25,25 people and 10 motherfuckers
938,Iron Giant,3,2 and a deer
939,Red Riding Hood,16,"13 people, 1 werewolf, 1 wolf and 1 rabbit"
940,Psycho (1998),2,2
941,Youth in Revolt,1,1
942,The Texas Chainsaw Massacre 2,8,8
943,The Godfather,19,18 and a horse
944,Strange Brew,2,2
945,Primal,31,"7 people, 1 demonic alien fetus, 1 kangaroo, 1 bug, 1 demonic rabbit and 20 leeches"
946,Orphan Killer,10,10
947,Paranormal Activity 3,2,2
948,"Easter Bunny, Kill! Kill!",8,8
949,Butch Cassidy and the Sundance Kid,31,"29, a snake and a horse"
950,The Hunger Games,26,"22, a bird, a lizard, 2 squirrels and a placemat"
1446,Mama,9,"6 people, a baby and 2 moths"
951,Hanna,19,18 and a reindeer
952,Iron Man,86,86
953,Pervert!,7,5 and 2 snakes
954,Ghost in the Shell,2,2
955,Deadly Detour,23,22 and a fetus 
956,Alien&sup3;,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus"
957,Bag of Bones,12,11 and an unborn child
958,Leaves of Grass,7,6 and a catfish
959,Feast,17,"11 plus 3 monsters, 2 baby monsters and a monster cock"
960,Train,10,10
961,Superfly,2,2
962,Brokeback Mountain,4,"1, a moose, a coyote and a sheep"
963,Ocean's Eleven,1,1
964,Tangled,1,1
965,'68,9,9
966,Futureworld,6,"2 people, 2 robots and 2 genetic duplicates"
967,Night of the Demons (2009),7,7
968,Haywire,8,8
969,Eye of the Beholder,5,5
970,Hours,1,1
971,Colombiana,32,32
972,Slugs: The Movie,16634,"11 people, 1 hamster, 9 slug eggs and 16,613 mutated slugs"
973,One for the Money,6,6
974,Blood & Donuts,6,"2 people, 2 rats, 1 pigeon and 1 vampire"
975,House,7,7
976,Fist of the North Star,22,22
977,Panic in Needle Park,1,1 puppy
978,Scorched,1,1 duck
979,Boogie Woogie,2,2
980,G.I. Joe: The Rise of Cobra,149,149
981,This Means War,22,22
982,Run! Bitch Run!,8,8
983,Bunraku,170,170
984,Crank,23,22 and a bird
985,Management,1,1
986,House of Yes,1,1
987,Lost Tribe,21,"19 people, 1 dog and 1 tribesman"
988,Lucky,4,4
989,Drive,10,10
990,Iron Man 2,7,7
991,Rock,23,23
992,Make-Out with Violence,5,"2 people, 2 dogs and a rat"
993,Less Than Zero,1,1
994,Pretty Persuasion,1,1
995,Rise of the Planet of the Apes,26,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug"
996,High Life,4,4
997,Game of Death II,12,12
998,Alien: Resurrection,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
999,Kidulthood,2,2
1000,Braveheart,21338,"20,176 men and 1,162 horses"
1001,One Last Thing,1,1
1002,Carolina,1,1
1003,Equilibrium,187,180 people and 7 dogs
1004,Dread,4,4
1005,Most High,2,2
1006,Teeth,2,2
1007,After.Life,2,1 and a baby chick
1008,"Love, Wedding, Marriage",1,1 fish
1009,Children,1,1 cat
1010,Memoirs of a Geisha,2,2
1011,Shoot 'Em Up,98,96 plus 2 deaths by carrot to the face
1012,Darkness Falls,12,11 and an evil tooth fairy ghost bitch
1013,Man Who Wasn't There,4,3 and a fetus
1014,Sleeping Beauty,2,2
1015,Hurt,4,3 and a duckling
1016,Weather Man,1,1
1017,World's Greatest Dad,1,1
1018,Watchmen,15000044,"15,000,040, a fetus, 2 dogs and Bubastyx (the genetically engineered tiger-lynx hybrid)"
1019,Predator,72,"69, a scorpion, a boar and a predator"
1020,Predator 2,39,38 and a predator
1021,Reef,4,4
1022,Hostel: Part III,14,13 and a cockroach
1023,Macbeth (2010),20,20
1024,Soul Surfer,1,1 shark
1025,Tiny Furniture,1,1 hamster
1026,The Butcher (2006),8,8
1027,Amazing Spider-Man,4,"2 people, a mouse and a genetically enhanced spider"
1028,X-Men,6,5 and a bird
1029,Never Let Me Go,3,3
1030,The Recruit,2,2
1031,Cirque Du Freak: The Vampire's Assistant,1,1
1032,Buried,1,1
1033,Incredible Hulk,20,20
1150,Species IV: The Awakening,14,"9 people, 4 alien-human hybrids and 1 unborn alien baby"
1034,Prometheus,18,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger)
1035,Hulk,8,"4, a frog and 3 gamma infected dogs"
1036,The Roommate,3,2 and a kitten
1037,The Family Tree,1,1
1038,Mojave Moon,1,1
1039,Cape Fear,4,3 and a dog
1040,Jurassic Park,9,"5 people, 2 dinosaurs, a goat and a bull"
1041,Girl Next Door,2,2
1042,Contagion,26000087,"Over 26 million people, 56 monkeys and one pig"
1043,Jimmy and Judy,3,3
1044,Playing by Heart,1,1
1045,Rest Stop,3,3
1046,Watchers,20,13 and 7 research animals
1047,Lost World: Jurassic Park,16,"14 people, a dog and a Velociraptor"
1048,The People Under the Stairs,6,5 and a dog
1049,Boogie Nights,9,9
1050,Lockout,533,533
1051,Caged Heat,8,8
1052,Drugstore Cowboy,1,1
1053,Suspicion,2,2
1054,Dust ,62,"58, 2 sheep, a stillborn baby and an unborn baby"
1055,Jurassic Park III,8,"6 people, a T-Rex and a Pterodactyl"
1056,The Killing Jar,8,8
1057,Get the Gringo,52,52
1058,Too Young to Die?,1,1
1059,World Unseen,1,1
1060,Mercury Rising,15,15
1061,Sleepaway Camp,11,11
1062,Sleepaway Camp II: Unhappy Campers,18,18
1063,Sleepaway Camp III: Teenage Wasteland,17,16 and a fish
1064,Kalifornia,12,11 and a bug
1065,Fright Night,10,5 and 5 vampires
1066,Creepshow,18,10 and 8 bugs
1067,Jeepers Creepers 2,10,10
1068,Batman,54,54
1069,Man Who Knew Too Little,4,4
1070,The Girl with the Dragon Tattoo,4,3 and a cat
1071,Batman Returns,6,5 and a cat
1072,In Time,10,10
1073,Phenomenon,1,1
1074,How to Rob a Bank,1,1
1075,Dirty Harry,7,7 bodies and 4 reasons he's called Dirty Harry (1. He hates everyone.  2. He's a peeping tom.  3. He gets all the dirty jobs that no one else wants.  4. He always gets the shit end of the stick.)
1076,Neo Ned,5,4 and a dog
1077,Burning Palms,3,2 and a possum
1078,Batman Forever,15,15
1079,Toxic Avenger,23,22 and a dog
1080,X,5,5
1081,High Lane,4,4
1082,Lazarus Project,5,5
1083,Seed,14,14
1084,Gojira (a.k.a. Godzilla),10411,"10,374 plus 12 cows, 8 pigs, 16 fish and Godzilla"
1085,Return to Sleepaway Camp,11,5 and 6 frogs
1086,Creepshow 2,14,13 and a duck
1087,11-11-11: The Prophecy,4,4
1088,11/11/11,24,"22, a butterfly and a rat"
1089,Barbarella,40,19 and 21 leathermen
1090,Mary and Max,16,"6, 2 flies, 1 worm and 7 fish"
1091,Don't Go in the Woods,13,13
1092,Death Wish 2,16,16
1093,Adventures of Baron Munchausen,52,51 and a giant 3-headed mechanical bird
1094,Camp Hell,1,1 bug
1095,Singles,1,1 fetus
1096,Death Wish 3,77,75 and 2 roaches
1097,Tales from the Crypt: Demon Knight,22,12 and 10 demons
1098,Rest Stop: Don't Look Back,7,7
1099,God Bless America,31,31
1100,Red Dawn,107,106 and a deer
1101,I Spill Your Guts,25,25
1102,Margin Call,1,1 dog
1103,Dumb and Dumber,2,1 and a bird
1104,Wishmaster,1,1
1105,Constantine,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
1106,Borderland,12,11 and a goat
1107,Conan the Barbarian,76,"71 people, 3 horses, 1 buzzard and a giant snake"
1108,Leviathan,8,"6, a spider crab and a genetic alteration"
1109,Thinner,6,6
1110,Shrink,1,1 dog
1111,Soapdish,1,1 cockroach
1112,Traveler,6,6
1113,Finding Nemo,422,2 fish and 420 eggs
1114,Aliens vs. Predator: Requiem,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
1115,Home Room,6,6
1116,Thursday,19,18 and a fetus
1117,Joe Dirt,7,"4, a dog, a duck and a fly"
1118,Lion King,22,"19 bugs, a zebra, Mufasa and Scar"
1119,Cherry Bomb,11,11
1120,Safe,82,82
1121,Malevolence,5,5
1122,Mum & Dad,6,6
1123,National Lampoon's Vacation,2,Aunt Edna and the dog
1124,Bloody Birthday,8,8
1125,Batman & Robin,13,13
1126,Halloween (1978),6,5 and a dog
1127,Halloween II (1981),10,10
1128,Halloween II (2009),18,"16, a cow and a dog"
1129,Halloween Night,18,18
1130,Trick r' Treat,10,10
1131,Confess,1,1
1132,Descendants,1,1
1133,Wishmaster 2: Evil Never Dies,2,2
1134,Halloween III: Season of the Witch,31,8 people and 23 robots
1135,Halloween 4: The Return of Michael Myers,20,19 and a dog
1136,Halloween 5: The Revenge of Michael Myers,21,20 and a dog
1137,Halloween VI: The Curse of Michael Myers,12,12
1138,Wishmaster 3: Beyond the Gates of Hell,8,8
1139,"Little Bit of Heaven, A Little Bit of Heaven",1,1
1140,50/50,1,1
1141,Village of the Damned,4063,"4,054 people, 8 creepy alien kids and 1 stillborn alien baby"
1142,Halloween H2O: 20 Years Later,7,7
1143,Halloween: Resurrection,10,10
1144,Kiss Kiss Bang Bang,12,12
1145,Strangeland,3,3
1146,Pact,3,3
1147,Species,19,"14 people , 2 rats, 1 alien life form and 2 alien-human hybrids"
1148,Species II,44,"23 people, 20 alien babies and 1 alien-human hybrid"
1149,Species III,12,"7 people,1 cat, 1 alien-human hybrid and 3 half-breeds"
1151,Godzilla (1998),393,"173 people, 219 Godzilla babies and Godzilla"
1152,Birdemic: Shock and Terror,45,"14 people, 30 birds and 1 fish"
1153,The Other Guys,6,6
1154,The Missing,28,"25 people, a deer and 2 horses"
1155,The Stepfather (1987),3,3
1156,The Stepfather (2009),4,4
1157,Green Lantern,30,29 and Parallax
1158,Valkyrie,2015,2014 and a mosquito
1159,Freeway Killer,7,7
1160,Unknown,10,9 people and 2 taxis
1161,The Mechanic,29,29
1162,Shooter,56,55 people and a dog
1163,The Taking of Pelham One Two Three,5,5
1164,My Little Eye,5,5
1165,Season of the Witch,1171,"1,140 people, 12 wolves, 18 zombie monks and 1 demon"
