movieskey,moviename,comment,award1,award2,award3,counted,voteforme,deathtype,deathcount,deathcomment,disputes
345,"Schizopolis	","<br />(maximum busy muscle!)		",<br />&#9733;Runner-up for Best Original Soundtrack - 2008&#9733;,,,,,,2,2,0
346,The Magician,"		",,,,,,,1,1,0
347,Road Trip,"		",,,,,,,1,1,0
348,"Sweet Home Alabama	","		",,,,,,,1,1 mosquito,0
349,Undercover Brother,"		",,,,,,,8,8,0
350,Zombie Strippers,"		",,,,,,,44,43 and a fly,0
351,Carrie (2002),"		",,,,,,,236,235 and a pig,0
352,Dark Knight,"		",,,,,,,26,26,0
353,The Family Stone,"		",,,,,,,1,1,0
354,Amadeus,"		",,,,,,,3,3,0
355,Til There Was You,"		",,,,,,,1,"1	",0
356,"S.W.A.T.	",<br />(starring Samuel L. Jackson),,,,,,,20,20 and 0 motherfuckers,0
357,National Treasure,"		",,,,,,,2,2,0
358,"Divine Secrets of the Ya-Ya Sisterhood	","		",,,,,,,1,1,0
359,The Last House on the Left,"		",,,,,,,6,6,0
360,"The	Thing","		",,,,,,,24,"12 people, 5 dogs and 7 ""things""	",0
361,Eating Raoul,"		",,,,,,,12,12,0
362,Quest for Camelot,"		",,,,,,,2,"2	",0
363,Dead End,"		",,,,,,,6,6,0
364,Motel Hell,"		",,,,,,,6,6,0
365,Taxi Driver,"		",,,,,,,4,4,0
366,Airplane!,"		",,,,,,,10,10,0
367,Deranged,"		",,,,,,,5,5,0
368,Fallen,"		",,,,,,,8,"8	",0
369,"Across the Universe	","		",,,,,,,10,"9 and Martin Luther King, Jr.",0
370,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"		",,,,,,,11,11,0
371,Earth vs. the Spider,<br />(Is that Harold?),,,,,,,13,12 and one mutant man-spider,0
372,The Tripper,"<br />&#9733;Best Jack of all Trades Award - 2008, awarded to David Arquette&#9733;",,,,,,,26,"24 and 2 dogs	",0
373,Resident Evil 3: Extinction,"		",,,,,,,15576,"576, 3 dogs and an entire flock of demon birds",0
374,Suicide Club,"		",,,,,,,80,78 and 2 small animals,0
375,Desperado,"		",,,,,,,51,51,0
376,Trainspotting,"		",,,,,,,2,1 and a baby,0
377,Crush,,,,,,,,1,1,0
378,Ultraviolet,"<br />(thank you aerial shots)		",,,,,,,311,310 and an unborn child,0
379,Billy Madison,"		",,,,,,,6,6,0
380,Asylum,"		",,,,,,,7,7,0
381,Saw V,"		",,,,,,,5,5,0
382,The Strangers,"		",,,,,,,2,2,0
383,Forgiving the Franklins,"		",,,,,,,4,4,0
384,Critters 2: The Main Course,"		",,,,,,,1274,"7 people, 1 bug, 1 dog, 3 cows, 1 space thing, 1261 critters and 1 alien bounty hunter",0
385,Critters 3: You are What They Eat,"		",,,,,,,8,2 and 6 critters,0
386,The Secret Life of Bees,"		",,,,,,,3,2 and a cockroach,0
387,Serenity,"		",,,,,,,197,"196 and a bug	",0
388,Reservoir Dogs,,,,,,,,11,11,0
389,Army of Darkness,"		",,,,,,,77,77,0
390,The Midnight Meat Train,"		","<br />&#9733;Best Title - 2008, possibly EVER&#9733;",,,,,,17,17,0
391,Noriko's Dinner Table,"		",,,,,,,85,85,0
392,28 Days Later,"		",,,,,,,33,32 and a monkey,0
393,Quantum of Solace,"		",,,,,,,24,23 and a fly and 1 bitch banged,0
394,I Know Who Killed Me,,,,,,,,2,2,0
1239,The Devil Inside,,,,,,,,1,1,0
395,The Fugitive,"		",,,,,,,7,7,0
396,"I Know What You Did Last Summer	","		",,,,,,,15,6 and 9 crabs,0
397,Alice's Restaurant,"		",,,,,,,2,2,0
398,Gattaca,,,,,,,,5,2 and 3 zygotes,0
399,Donnie Brasco,"		",,,,,,,6,6,0
400,Scarface,"<br />(#400!)		",,,,,,,42,42,0
401,The Signal,"		",,,,,,,53,53,0
402,Event Horizon,"		",,,,,,,3,3,0
403,Critters 4,"		",,,,,,,26,"7, 6 eggs and 13 critters",0
404,High Times' Potluck,"		",,,,,,,2,2,0
405,Death to Smoochy,,,,,,,,3,3,0
406,Deuce Bigalow: European Gigolo,,,,,,,,4,4,0
407,Defending Your Life,"		",,,,,,,1,1,0
408,"Deliverance	","		",,,,,,,4,3 and a fish,0
409,Dangerous Intentions,"		",,,,,,,1,1,0
410,Black Snake Moan,"		",,,,,,,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking,0
411,Street Kings,"		",,,,,,,12,12,0
412,Tropic Thunder,"		",,,,,,,4,"1, a bat, a panda and a Tivo",0
413,"Southland Tales	","		",,,,,,,524,24 and a mega-zeppelin,0
414,Up in Smoke,"		",,,,,,,2,1 bird and 1 dog,0
415,What Ever Happened to Baby Jane?,"		",,,,,,,3,"1, a bird and a rat",0
416,Antitrust,"		",,,,,,,2,2,0
417,The Blob (1988),"		",,,,,,,28,27 and a rat,0
418,Batman: The Movie,"		",,,,,,,11,"5, a shark, an octopus and 4 noble porpoises",0
419,Eagle Eye,"		",,,,,,,61,61,0
420,Pineapple Express,"		",,,,,,,21,"19, a bug and a very large crop of marijuana",0
421,Bad Dreams,"		",,,,,,,37,37,0
422,Burn After Reading,"		",,,,,,,2,2,0
423,My Bloody Valentine (2009),"		",,,,,,,31,31,0
424,Friday the 13th (2009),"		",,,,,,,15,15,0
425,Dr. No,"		",,,,,,,11,"10 and a huge fucking venomous spider, plus 3 bitches banged",0
426,From Russia With Love,"		",,,,,,,23,"22, 1 siamese fighting fish, and 2 bitches banged",0
427,Goldfinger,"		",<br />&#9733;Best Theme Song - 2009&#9733;,<br />&#9733;Honorable Mention for Opening Title Sequence - 2009&#9733;,,,,,60,60 and 2 bitches banged,0
428,Thunderball,"		",,,,,,,45,"44, a shark, and 3 bitches got banged",0
429,Diary of the Dead,"		",,,,,,,30,30,0
430,Blood Diner,"		",<br />&#9733;Most Ridiculous Movie - 2009&#9733;,,,,,,69,69,0
431,The Secret of NIMH,,,,,,,,3,3 rats,0
432,Basic,"		",,,,,,,3,3,0
433,Repo! The Genetic Opera,"		",<br />&#9733;Best Opening Sequence - 2009&#9733;,,,,,,14,14,0
434,Kill Bill: Volume 1,"		",,,,,,,51,51,0
435,You Only Live Twice,"<br />(These credits get an ""F"")",,,,,,,77,77 and 3 bitches banged,0
436,Nurse Betty,"		",,,,,,,4,4,0
437,On Her Majesty's Secret Service,"		",,,,,,,20,20 and 3 bitches banged,0
438,"Diamonds are Forever	","		",,,,,,,66,66 and only 1 bitch banged,0
439,Live and Let Die,"		",<br />&#9733;Runner-up for Best Theme Song - 2009&#9733;,,,,,,8,"6, a snake, a crocodile, and 3 bitches banged",0
440,Gangs of New York,"		",,,,,,,95,94 and a rat,0
441,"The Warriors	","		",<br />&#9733;Best Costume Design - 2009&#9733;,,,,,,2,2,0
442,Brotherhood of the Wolf,"<br />(We miss you, Tonto.)		",<br />&#9733;Best Cinematography - 2009&#9733;,,,,,,68,"42 people, 23 wolves, 2 dogs and a beast",0
443,The Zombie Diaries,"		",<br />&#9733;Worst Zombie Movie - Ever&#9733;,<br />&#9733;Worst Cinematography - 2009&#9733;,,,,,28,28,0
444,The Man with the Golden Gun,"		",,,,,,,7,7 and 2 bitches banged,0
445,Memento,,,,,,,,4,4,0
446,Drag Me to Hell,"		",,,,,,,5,4 and a kitten,0
448,Bubble Boy,"		",,,,,,,1,1 cow,0
449,X-Men Origins: Wolverine,"		",,,,,,,48,47 and a bear,0
450,Pride and Glory,"		",,,,,,,11,11,0
451,Transformers: Revenge of the Fallen,"		",,,,,,,7071,"7,049 people, 14 Decepticons, 5 baby Decepticons, 1 Decepticon hatchling, 1 Autobot that used to be a Decepticon, and 1 goat",0
452,Jesus Christ Vampire Hunter,"		",,,,,,,46,46,0
453,Spy Who Loved Me,"		",,,,,,,111,"44, a fish, a shark and two submarines full of guys in orange jumpsuits. Oh, and two bitches banged",0
454,Gran Torino,"		",,,,,,,1,1,0
455,Surrender Dorothy,"		",,,,,,,1,1,0
456,"Lock, Stock and Two Smoking Barrels","		",,,,,,,15,15,0
457,Public Enemies,"		",,,,,,,22,22,0
458,The Magnificent Seven,,,,,,,,55,55,0
459,Candy,"		",,,,,,,2,1 and a fetus,0
460,The City of Lost Children,"		",,,,,,,9,"5 plus a set of siamese twins, a dwarf and a parakeet",0
461,Death Note,"		",,,,,,,25,25,0
462,Milk,"		",,,,,,,4,4,0
463,"Good Night, and Good Luck	","		",,,,,,,1,1,0
464,The Collector,"		",,,,,,,11,"7, 1 cat, 2 fish and 1 dog",0
465,The Haunting in Connecticut,,,,,,,,6,6,0
466,Horsemen,"		",,,,,,,5,4 and a fetus,0
467,Rising Sun,"		",,,,,,,5,5,0
468,The Taking of Pelham 1 2 3 (2009),"		",,,,,,,7,7,0
469,The International,"		",,,,,,,16,16,0
470,Twilight,"		",,,,,,,5,"2, a vampire and 2 deer",0
471,Inglourious Basterds,"		",,,,,,,397,397,0
472,Final Destination 4,"		",,,,,,,61,61,0
473,Moonraker,"		",,,,,,,121,"108, 12 pheasants, 1 python and 3 bitches banged",0
474,For Your Eyes Only,"		",,,,,,,45,"27, 1 British spy ship disguised as a fishing vessel, and one bitch banged",0
1477,Bourne Ultimatum,,<br />&#9733;Worst Cinematography - 2013&#9733;,,,,,,4,4,0
475,Octopussy,"		",,,,,,,97,"96 and a spider, and 2 bitches banged",0
476,Ong-Bak: The Thai Warrior,"		",,,,,,,8,8,0
477,Cool Hand Luke,"		",,,,,,,6,"2, a bird, a snake, a dog and a turtle",0
478,The Invention of Lying,"		",,,,,,,1,1,0
479,From Hell,"		",,,,,,,8,8,0
480,Appaloosa,"		",,,,,,,13,11 and 2 horses,0
481,Blood Work,"		",,,,,,,7,7,0
482,Black Dynamite,"		",,,,,,,46,46,0
483,View to a Kill,"		",,,,,,,29,29 and 4 bitches banged,0
484,Never Say Never Again,"<br />(James Bond is back!)		",,,,,,,17,17 and 4 bitches banged,0
485,Deception,"		",,,,,,,3,3,0
486,Who Framed Roger Rabbit,"		",,,,,,,9,2 people and 7 toons,0
487,Cyborg,"		",,,,,,,34,"34, all human, including a toddler",0
488,Jumper,"		",,,,,,,6,6 bodies and 0 motherfuckers,0
489,Funny Games (2008),"		",,,,,,,5,4 people and 1 dog,0
490,Saw VI,"		",,,,,,,12,12,0
491,Quarantine,,,,,,,,10,"8 people, 1 dog and 1 rat",0
492,The Basketball Diaries,"		",,,,,,,2,2,0
493,The Living Daylights,"		",,,,,,,22,22 and 2 bitches banged,0
494,The Boondock Saints II: All Saints Day,"		",,,,,,,56,56,0
495,Prizzi's Honor,"		",,,,,,,7,7,0
496,Malice,"		",,,,,,,2,1 and an unborn fetus,0
497,Crank 2: High Voltage,"		",,,,,,,41,41,0
498,Fight Club,"		",,,,,,,1,1,0
499,Kill Bill: Volume 2,"		",,,,,,,11,11,0
500,Pulp Fiction,"<br />(#500!)		",,,,,,,7,"7, plus Sam Jackson racked up 27 motherfuckers and 1 motherfucker accessory",0
501,Piccadilly,"		",,,,,,,2,1 chinese homewrecking dancing biatch and 1 chinese creepy guy,0
502,"War, Inc.","		",,,,,,,50,49 and a scorpion,0
503,Point Break,"		",,,,,,,9,9,0
504,Romper Stomper,"		",,,,,,,6,6,0
505,Seven Pounds,"		",,,,,,,8,8,0
506,The Wizard of Oz,"		",,,,,,,2,2,0
507,Man on the Moon,"		",,,,,,,1,1,0
508,The Killing Room,"		",,,,,,,3,3,0
509,Road to Perdition,"		",,,,,,,23,23,0
510,Licence to Kill,"		",,,,,,,23,"20, a starfish, 2 sharks and 2 bitches banged",0
511,Goldeneye,"		",<br />&#9733;Runner-up for Best Opening Title Sequence - 2009&#9733;,<br />&#9733;Honorable Mention for Theme Song - 2009&#9733;,,,,,60,60 and 2 bitches banged,0
512,Tomorrow Never Dies,"		",<br />&#9733;Best Opening Title Sequence - 2009&#9733;,,,,,,819,819 and 2 bitches banged,0
513,S.F.W.,"		",,,,,,,5,5,0
514,M*A*S*H,"		",,,,,,,3,3,0
515,Snoop Dogg's Hood of Horror,"		",,,,,,,18,17 and a dog,0
516,Night of the Demons,"		",,,,,,,9,9,0
517,The Valley of the Bees,"<br />(Credits NOW!)		",,,,,,,9,8 and a deer,0
518,The Men Who Stare at Goats,"		",,,,,,,3,2 and a goat,0
519,The World is Not Enough,"		",,,,,,,62,62 and 3 bitches banged,0
520,Die Another Day,"<br />(What about the innuendo?)		",,,,,,,24,24 and 2 bitches banged,0
521,Psycho Santa,"		",<br />&#9733;Worst Slumber Party - Ever&#9733;,,,,,,10,10,0
522,Satan Claus,"		",<br />&#9733;Worst Lighting - 2009&#9733;,,,,,,9,9,0
523,The Christmas Season Massacre,"<br />(Featuring a Christmas Pirate killer, a.k.a. One Shoe McGroo)		",,,,,,,9,9,0
524,Casino Royale (2006),"		",,,,,,,22,22 and 1 bitch banged,0
525,Cheers for Miss Bishop,,,,,,,,4,4,0
526,Fahrenheit 451,"		",,,,,,,3,3,0
527,Ronin,"		",,,,,,,33,33,0
528,Next Day Air,"		",,,,,,,6,6,0
529,Sherlock Holmes,"		",,,,,,,6,6,0
530,Jennifer's Body,"		",,,,,,,57,56 people and 1 succubus,0
531,District 9,"		",,,,,,,95,"48, a little alien dog, and 46 alien eggs",0
532,North by Northwest,,,,,,,,5,5,0
533,National Lampoon's Christmas Vacation,"		",,,,,,,1,1 cat,0
534,"Silent Night, Deadly Night","		",,,,,,,14,13 and a snowman,0
535,The Hurt Locker,"		",,,,,,,19,18 and a fly,0
536,Family Plot,"		",,,,,,,1,1,0
537,"Few Good Men, A Few Good Men","		",,,,,,,2,2,0
538,Superstar,"		",,,,,,,2,2,0
539,Dead Men Don't Wear Plaid,"		",,,,,,,5,5,0
540,Love Happens,"		",,,,,,,1,1,0
541,American Pie Presents: The Book of Love,"		",,,,,,,2,1 and a squirrel,0
542,Juno and the Paycock,"		",,,,,,,2,2,0
543,Johnny Mnemonic,"		",,,,,,,26,26,0
544,Amateur Porn Star Killer,"		",<br />&#9733;Worst Movie - 2010&#9733;,,,,,,1,1,0
545,The Birds,,,,,,,,20,3 and 17 birds,0
546,Alice in Wonderland (2010),"		",,,,,,,4,"1, a frog, a jub-jub bird and a jabberwocky",0
547,Lifeboat,"		",,,,,,,125,124 and a baby,0
548,The Super Ninja,"		",,,,,,,33,33,0
549,Gummo,"		",,,,,,,6,1 and 5 cats,0
550,Marathon Man,"		",,,,,,,12,12,0
551,Legend of the Liquid Sword,,,,,,,,16,15 and a frog,0
552,The Muppet Movie,"		",,,,,,,1,1 fly,0
553,The Chumscrubber,"		",,,,,,,1,1,0
554,The Fourth Kind,"		",,,,,,,4,4,0
555,The Langoliers,"		",,,,,,,3,3,0
556,The Monster Squad,"		",,,,,,,14,"7 people, 4 vampires, a mummy, a wolfman and a creature from the black lagoon",0
557,Turok: Son of Stone,"		",,,,,,,158,"149 people, 2 horses, 2 bucks, a monkey, a bug, a sea monster, an elephant and a pterodactyl",0
558,Angels & Demons,"		",,,,,,,15,15,0
559,The Craft,"		",,,,,,,10,3 and 7 sharks,0
560,Big Trouble,"		",,,,,,,2,1 person and 2 television sets,0
561,Mega Shark vs. Giant Octopus,"<br />(Starring Debbie Gibson and Lorenzo Lamas!)		",,,,,,,2306,"9, plus an oil rig, a whale, a plane snatched out of the air by mega shark, two U.S. navy ships, one oil tanker crew killed by pirates, one pirate crew cooked well done, 7 U.S. submarines, one Japanese submarine, one mega shark and one giant octopus",0
562,Half Baked,"		",,,,,,,2,1 horse and 1 dog,0
563,Law Abiding Citizen,"		",,,,,,,15,15,0
564,Titanic,"		",,,,,,,1534,"1,522 and 12 dogs",0
565,Number Seventeen,"		",,,,,,,2,2,0
566,Zombieland,"		",,,,,,,149,148 plus Bill Murray,0
567,The Transformers: The Movie,"<br />(supposedly took place in 2005)		",,,,,,,2500000036,"1 robot planet, 7 autobots, 16 decepticons, 5 robot fish, 5 sharkticons, 2 random robots and Unicron",0
568,Ed Wood,"		",,,,,,,1,1,0
569,True Romance,"		",,,,,,,20,20,0
570,Clash of the Titans (1981),"		",,,,,,,75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken",0
571,Clash of the Titans (2010),"		",,,,,,,1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken",0
1574,Trees Lounge,,,,,,,,1,1 and 0 motherfuckers,0
572,Transporter 3,"		",,,,,,,20,19 and a fish,0
573,Orphan,"		",,,,,,,4,3 and a pigeon,0
574,The Objective,"		",,,,,,,10,10,0
575,Pinocchio's Revenge,,,,,,,,3,2 people and 1 girl doll,0
576,Paranormal Activity,"		",,,,,,,1,1,0
577,Fantastic Mr. Fox,"		",,,,,,,6,"2 squabs, 3 chickens, 1 rat",0
578,Commando,"		",,,,,,,86,86,0
579,Donnie Darko,"		",,,,,,,1,1,0
580,Sam's Lake,"		",,,,,,,10,10,0
581,Night of the Living Dead 3D,"		",,,,,,,10,10,0
582,Mouth to Mouth (2005),"		",,,,,,,2,2,0
583,State of Play,"		",,,,,,,5,5,0
584,Sex and Death 101,"		",,,,,,,3,3,0
585,Near Dark,"		",,,,,,,15,15,0
586,Taken,"		",,,,,,,20,20,0
587,Goodfellas,"		",,,,,,,10,10,0
588,Dance of the Dead,"		",<br />&#9733;Worst Zombie Movie - 2010&#9733;,,,,,,85,85,0
589,Happy Birthday to Me,"		",<br />&#9733;Best Slasher Film - 2010&#9733;,,,,,,9,9,0
590,Pan's Labyrinth,,,,,,,,28,"22, a giant toad, 2 bugs, 2 fairies and a magic root",0
591,Drive Thru,"		",,,,,,,14,14,0
592,Young and Innocent,,,,,,,,1,1,0
593,Cut,"		",,,,,,,15,15,0
594,Invitation to a Suicide,"		",,,,,,,1,1,0
595,April Fools,"		",,,,,,,2,2,0
596,Young Guns II,"		",,,,,,,21,21,0
597,The Box (2009),"		",,,,,,,3,3,0
598,Broken Arrow,"<br />(Where do I even begin? Worst Set Design, Worst Director - John Woo, Worst Score, Worst Continuity, and a romance that I cannot handle.)		",,,,,,,27,27,0
599,Unthinkable,"		",,,,,,,55,55 and 0 motherfuckers,0
600,Elephant,"		",,,,,,,13,13,0
601,Casino Royale (1967),"		",,,,,,,217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse.",0
602,Hellboy,"		",,,,,,,6041,"34 plus 6 Sammaels, 1 Ogdru Jahad, and thousands of Sammael eggs",0
603,First Blood,"		",,,,,,,5,"1 man, 3 dogs, 1 wild pig",0
604,Insanitarium,"		",,,,,,,25,24 and a cat,0
605,Legion,"		",,,,,,,217,172 and 45 locusts,0
606,House of the Dead,,,,,,,,128,128,0
607,Brotherhood of Blood,"		",,,,,,,16,16,0
608,"Angels of the Universe	","		",,,,,,,2,2,0
609,The Road,,,,,,,,6,6,0
610,Postal,"		",,,,,,,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer.",0
611,Zoolander,"		",,,,,,,3,"3 really, really ridiculously good-looking models ",0
612,Rich and Strange,"		",,,,,,,3,2 and a cat,0
613,Terminator Salvation,"		",,,,,,,500070,"53, 5 terminators, 2 motorcycle killing machines, 2 hunter killers, 8 face-eating water snake machines (a.k.a. machine face snake eaters) and Skynet Central",0
614,Hook,"		",,,,,,,9,9 and a coconut,0
615,Matilda,"		",,,,,,,1,1,0
616,"American Crime, An American Crime","		",,,,,,,1,1,0
617,Wild Oranges,"		",,,,,,,3,3,0
618,Rambo II,"		",,,,,,,63,62 and a chicken,0
619,Single White Female,"		",,,,,,,4,3 and a dog,0
620,Fortress (1992),,,,,,,,30,29 and a robo-truck,0
621,Casino,"		",,,,,,,22,22,0
622,Punisher: War Zone,"		",,,,,,,108,108,0
623,The Wizard of Gore,"		",,,,,,,2512,"6, 1 leech, 5 rats and 5 handfuls of maggots",0
624,Raiders of the Lost Ark,"		",,,,,,,119,"55, a monkey and 63 ""impossible to count"" snakes",0
625,Indiana Jones and the Temple of Doom,"		",,,,,,,532,"31 people, 8 chickens, 2 snakes, 1 mosquito and 490 other bugs",0
626,Indiana Jones and the Last Crusade,"		",,,,,,,2055,"48 people, 7 birds, and 2,000 rats",0
627,Zombies of Mass Destruction,"		","<br />&#9733;Worst Hair - 2010, Crazy Jogging Bitch&#9733;",,,,,,34,34,0
628,Rambo III,"		",,,,,,,132,130 and 2 horses,0
629,P2,"		",,,,,,,4,3 and a dog,0
630,Traitor,"		",,,,,,,63,63,0
631,The Skin Game,"<br />(a.k.a. Long Hard Cock, a.k.a. A Talking Film)		",,,,,,,3,1 plus a fetus and a tree,0
632,Moulin Rouge,"		",,,,,,,1,1,0
633,Rambo IV,"		",,,,,,,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs",0
634,Stardust,"		",,,,,,,17,"8 plus 4 witches, 1 star, 1 ferret, 1 small alligator, 1 goat and 1 unicorn",0
635,Inception,"		",,,,,,,3,3,0
636,Whiteout,"		",,,,,,,10,10,0
637,Jaws 2,"		",,,,,,,8,7 people and 1 shark,0
638,Jaws 3,"		",<br />&#9733;Worst Special Effects - 2010&#9733;,,,,,,8,5 plus 2 sharks and 1 fish,0
639,Jaws 4,"		",,,,,,,3,2 and a shark,0
640,The Expendables,"		",,,,,,,165,165,0
641,One Flew Over the Cuckoo's Nest,"		",,,,,,,2,2,0
642,THX 1138,"		",,,,,,,68,"63 plus 1 mate, 2 robot police officers, 1 hologram dude and a fetus",0
643,Machete,,,,,,,,78,"77 and an unborn child		",0
644,The Matrix,,,,,,,,43,"42, a tracer bug, and Neo's doubt",0
645,"The Goods: Live Hard, Sell Hard","		",,,,,,,1,1,0
646,Undead or Alive,"		",,,,,,,32,"30, a horse, and a chicken",0
647,Secret Agent,"		",<br />&#9733;Worst Lighting - 2010&#9733;,,,,,,4,4,0
648,Devil,"		",,,,,,,7,7,0
649,Fortress (1986),"		",,,,,,,22,"6, a fox, and fifteen fish",0
650,Max Payne,"		",,,,,,,32,32,0
651,Shutter Island,"		",,,,,,,1,1,0
652,Con Air,"		",,,,,,,31,"30, a tank and a car",0
653,Flash Gordon,"		",,,,,,,57,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster,0
654,Despicable Me,"		",,,,,,,1,1 bird,0
655,Amelie,"		",,,,,,,1,1,0
656,The Baby's Room,"		",,,,,,,1,1,0
657,The Man from Earth,"		",,,,,,,1,1,0
658,The Machinist,"		",,,,,,,1,1,0
659,Nights in Rodanthe,"		",,,,,,,1,1,0
660,The Fast and the Furious: Tokyo Drift,"		",,,,,,,1,1,0
661,Dead Snow,,,,,,,,46,"10, a crow, and 35 zombie Nazis",0
662,A Nightmare on Elm Street (2010),"		",,,,,,,4,4,0
663,Red,"		",,,,,,,16,16,0
664,2001: A Space Odyssey,"		",,,,,,,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence ",0
665,Australia,"		",,,,,,,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog",0
666,Shutter (2008),"		",,,,,,,2,2,0
667,Ghost Ship,"		",,,,,,,1137,"1,137",0
668,"Bucket of Blood, A Bucket of Blood","		",,,,,,,5,4 and a cat,0
669,Necropolis (1987),"		",<br />&#9733;Worst Editing - 2010&#9733;,,,,,,17,12 and 5 ghouls,0
670,Kick-Ass,"		",,,,,,,64,64,0
671,Avatar,"		",,,,,,,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon.",0
672,Saw VII,"		",,,,,,,21,21,0
1473,Man of Steel,,,,,,,,2000129220,"129,039 people, General Zod, 10 Kryptonian soldiers, 170 Kryptonian fetuses and the planet Krypton",0
673,Paranormal Activity 2,"		",,,,,,,3,2 and 1 bird,0
674,The Nightmare Before Christmas,"		",,,,,,,2,1 and a scorpion,0
675,Clerks,"		",,,,,,,1,1,0
676,Wristcutters: A Love Story,"		",,,,,,,9,9,0
677,Night of the Living Dead (1968),"		",,,,,,,15,15,0
678,How to Lose Friends & Alienate People,"		",,,,,,,4,"1 dog and 3 goldfish	",0
679,"How to Be a Serial Killer	",,,,,,,,28,28,0
680,"Cube	","		",,,,,,,6,6,0
681,The Crazies (2010),"		",,,,,,,1266,"1,266",0
682,The Order,"		",,,,,,,8,8,0
683,The Book of Eli,"		",,,,,,,53,51 plus a cat and a bird,0
684,"Danika	","		",,,,,,,3,3,0
685,Bangkok Dangerous,"		",,,,,,,44,43 and a scorpion,0
686,Strangers on a Train,"		",,,,,,,3,3,0
687,"Clay Pigeons	","		",,,,,,,3,3,0
688,American History X,"		",,,,,,,3,3,0
689,Santa's Slay,"		",,,,,,,33,"31, a fluffy white dog and a helldeer",0
690,Dial M for Murder,"		",,,,,,,1,1,0
691,The Tourist,"		",,,,,,,5,5,0
692,The Losers,"		",,,,,,,61,"40 and a teddy bear before the opening title, then 20 more",0
693,Life Blood,"<br />(in which God is both a woman and a vampire)		",,,,,,,9,8 and a possum,0
694,"Tron	","		",,,,,,,29,"19 programs, 7 recognizers, 2 tanks and 1 master control program",0
695,The Man Who Knew Too Much (1934),"		",,,,,,,8,8,0
696,"Perfect Getaway, A Perfect Getaway",,,,,,,,8,"7 and a goat	",0
697,The Christmas Tale,"<br />(Cuento de Navidad)		",,,,,,,4,4,0
698,Requiem for a Dream,"		",,,,,,,1,1,0
699,"Cloudy with a Chance of Meatballs	","		",,,,,,,4,"1 and 3 gummie bears	",0
700,The Time Traveler's Wife,"		",,,,,,,4,2 and 2 fetuses,0
701,Jackie Brown,"		",<br />&#9733;Best Soundtrack - 2011&#9733;,,,,,,4,4 bodies and 38 motherfuckers from Samuel L. Jackson,0
702,Knowing,"		",,,,,,,6785987235,All of Earth except for 2 kids and 2 rabbits,0
703,Backdraft,"		",,,,,,,6,6,0
704,Brooklyn's Finest,"		",,,,,,,16,16,0
705,High Hopes ,"		",,,,,,,2,2,0
706,The Emperor's New Groove,"		",,,,,,,2,2 bugs,0
707,May,"		",,,,,,,7,"5, a cat, and a creepy porcelain doll	",0
708,Rob Roy,"		",,,,,,,26,"14, a dog, 7 cows, 2 chickens and 2 sheep	",0
709,"Die Hard	","		",,,,,,,23,23,0
710,Die Hard 2,,,,,,,,265,265,0
711,Survival of the Dead,"		",,,,,,,96,"94, a pig, and a horse	",0
712,Harry Brown,"		",,,,,,,14,14,0
713,Hostel: Part II,"		",,,,,,,9,9,0
714,Behind Enemy Lines,"		",,,,,,,43,43,0
715,Dune,"		",,,,,,,270,268 and 2 sandworms,0
716,"Return to Horror High	","		",<br />&#9733;Best Casio Keyboard - 2011&#9733;,,,,,,4,4 flies,0
717,To Catch a Thief,"		",,,,,,,1,1,0
718,Psycho (1960),"		",,,,,,,2,2,0
719,Rear Window,"		",,,,,,,2,"1 and a dog	",0
720,Blackmail,"		",,,,,,,2,2,0
721,"Sabotage (1936)	","<br />(a.k.a. sa-bo-tarj)		",,,,,,,58,57 and a puppy,0
722,Screamers,"		",,,,,,,132,"76 people, 11 Type 1-revised screamers, 2 Type 2 screamers, 40 Type 3 screamers, 2 Type 4 screamers, and 1 rat",0
723,Lady and the Tramp,"		",,,,,,,1,1 rat,0
724,"Day of the Dead (2008)	","		",<br />&#9733;Worst Font - 2011&#9733;,,,,,,118,117 and one zombie boyfriend,0
725,2001 Maniacs,"		",,,,,,,11,"8 people, an armadillo, a cat, and a mouse",0
726,My Bloody Valentine (1981),"		",,,,,,,15,15,0
727,"Mulholland Drive, Mulholland Dr.","		",,,,,,,9,9,0
728,The Wolfman (2010),"		",,,,,,,21,21,0
729,"Scotland, Pa	","		",,,,,,,5,5,0
730,Vertigo,"		",<br />&#9733;Best Opening Credits - 2011&#9733;,,,,,,3,3,0
731,The Outsiders,"		",,,,,,,3,3,0
732,Chloe,"		",,,,,,,1,1,0
733,Dogma,"		",,,,,,,67,"57, 5 demons and 5 gang members	",0
